Game:#1; User:3; Computer:8; Win:Computer;
Game:#2; User:7; Computer:0; Win:Computer;
Game:#3; User:3; Computer:7; Win:Computer;
Game:#4; User:3; Computer:4; Win:Computer;
Game:#5; User:3; Computer:0; Win:Computer;
Game:#6; User:5; Computer:3; Win:Computer;
Game:#7; User:6; Computer:6; Win:User;
Game:#8; User:3; Computer:6; Win:Computer;
Game:#9; User:4; Computer:2; Win:Computer;
Game:#10; User:3; Computer:1; Win:Computer;
Game:#11; User:4; Computer:3; Win:Computer;
Game:#12; User:3; Computer:7; Win:Computer;
Game:#13; User:4; Computer:2; Win:Computer;
Game:#14; User:2; Computer:0; Win:Computer;
Game:#15; User:6; Computer:4; Win:Computer;
Game:#16; User:6; Computer:3; Win:Computer;
Game:#17; User:6; Computer:3; Win:Computer;
Game:#18; User:6; Computer:0; Win:Computer;
Game:#19; User:6; Computer:8; Win:Computer;
Game:#20; User:6; Computer:4; Win:Computer;
Game:#21; User:6; Computer:6; Win:User;
Game:#22; User:4; Computer:4; Win:User;
Game:#23; User:3; Computer:7; Win:Computer;
Game:#24; User:0; Computer:3; Win:Computer;
Game:#25; User:3; Computer:8; Win:Computer;
Game:#26; User:4; Computer:7; Win:Computer;
Game:#27; User:6; Computer:6; Win:User;
Game:#28; User:3; Computer:0; Win:Computer;
Game:#29; User:7; Computer:0; Win:Computer;
Game:#30; User:4; Computer:1; Win:Computer;
Game:#31; User:3; Computer:0; Win:Computer;
Game:#32; User:5; Computer:2; Win:Computer;
Game:#33; User:7; Computer:8; Win:Computer;
Game:#34; User:3; Computer:4; Win:Computer;
Game:#35; User:3; Computer:1; Win:Computer;
